Don Quixote
Alice's Adventures in Wonderland
The Adventures of Huckleberry Finn
The Adventures of Tom Sawyer
Treasure Island
Pride and Prejudice
Wuthering Heights
Jane Eyre
Moby Dick
The Scarlet Letter
Gulliver's Travels
The Pilgrim's Progress
A Christmas Carol
David Copperfield
A Tale of Two Cities
Little Women
Great Expectations
"The Hobbit, or, There and Back Again"
"Frankenstein, or, the Modern Prometheus"
Oliver Twist
Uncle Tom's Cabin
Crime and Punishment
Madame Bovary: Patterns of Provincial life
The Return of the King
Dracula
The Three Musketeers
Brave New World
War and Peace
To Kill a Mockingbird
The Wizard of Oz
Les Misérables
The Secret Garden
Animal Farm
The Great Gatsby
The Little Prince
The Call of the Wild
"20,000 Leagues Under the Sea"
Anna Karenina
The Wind in the Willows
The Picture of Dorian Gray
The Grapes of Wrath
Sense and Sensibility
The Last of the Mohicans
Tess of the d'Urbervilles
Harry Potter and the Sorcerer's Stone
Heidi
Ulysses
The Complete Sherlock Holmes
The Count of Monte Cristo
The Old Man and the Sea
"The Lion, the Witch, and the Wardrobe"
The Hunchback of Notre Dame
Pinocchio
One Hundred Years of Solitude
Ivanhoe
The Red Badge of Courage
Anne of Green Gables
Black Beauty
Peter Pan
A Farewell to Arms
The House of the Seven Gables
Lord of the Flies
The Prince and the Pauper
A Portrait of the Artist as a Young Man
Lord Jim
Harry Potter and the Chamber of Secrets
The Red & the Black
The Stranger
The Trial
Lady Chatterley's Lover
Kidnapped: The Adventures of David Balfour
The Catcher in the Rye
Fahrenheit 451
A Journey to the Center of the Earth
Vanity Fair
All Quiet on the Western Front
Gone with the Wind
My Ántonia
Of Mice and Men
The Vicar of Wakefield
A Connecticut Yankee in King Arthur's Court
White Fang
Fathers and Sons
Doctor Zhivago
The Decameron
Nineteen Eighty-Four
The Jungle
The Da Vinci Code
Persuasion
Mansfield Park
Candide
For Whom the Bell Tolls
Far from the Madding Crowd
The Fellowship of the Ring
The Return of the Native
Sons and Lovers
Charlotte's Web
The Swiss Family Robinson
Bleak House
Père Goriot
Utopia
"The History of Tom Jones, a Foundling"
Harry Potter and the Prisoner of Azkaban
Kim
The Sound and the Fury
Harry Potter and the Goblet of Fire
The Mill on the Floss
A Wrinkle in Time
The Hound of the Baskervilles
The Two Towers
The War of the Worlds
Middlemarch
The Age of Innocence
The Color Purple
Northanger Abbey
East of Eden
On the Road
Catch-22
Around the World in Eighty Days
Hard Times
Beloved
Mrs. Dalloway
To the Lighthouse
The Magician's Nephew
Harry Potter and the Order of the Phoenix
The Sun Also Rises
The Good Earth
Silas Marner
Love in the Time of Cholera
Rebecca
Jude the Obscure
Twilight
A Passage to India
The Plague
Nicholas Nickleby
The Pearl
Ethan Frome
The Tale of Genji
The Giver
The Alchemist
The Strange Case of Dr. Jekyll and Mr. Hyde
Robinson Crusoe
Tender is the Night
The Idiot
Hatchet
The Kite Runner
One Flew Over the Cuckoo's Nest
The Portrait of a Lady
The Outsiders
Ben-Hur
The Mayor of Casterbridge
"Cry, The Beloved Country"
The Last Battle
Captains Courageous
The Castle
The Metamorphosis
The Magic Mountain (Der Zauberberg)
James and the Giant Peach
The Horse and His Boy
Angels & Demons
The Voyage of the Dawn Treader
The Bell Jar
Women in Love
The Yearling
O Pioneers!
The Handmaid's Tale
The Moonstone
The Old Curiosity Shop
Little Dorrit
Prince Caspian: The Return to Narnia
Sister Carrie
The Silver Chair
The Hunger Games
This Side of Paradise
Eugénie Grandet
Of Human Bondage
Dream of the Red Chamber
Life of Pi
Harry Potter and the Deathly Hallows
Invisible Man
Steppenwolf
The Sorrows of Young Werther
Bridge to Terabithia
The Invisible Man
Holes
Siddhartha
A Tree Grows in Brooklyn
"Through the Looking-Glass, and What Alice Found There"
In Cold Blood
The House of the Spirits
Adam Bede
The Betrothed
The Book Thief
Their Eyes Were Watching God
One Day in the Life of Ivan Denisovich
The Sea Wolf
Catching Fire
"Roll of Thunder, Hear My Cry"
Death Comes for the Archbishop
The House of Mirth
Light in August
The Pickwick Papers
Remembrance of Things Past
Barchester Towers and the Warden
The Bridge of San Luis Rey
The Help
Murder on the Orient Express
The Lovely Bones
The Appeal
Dombey And Son
Slaughterhouse-Five
An American Tragedy
The Bluest Eye
Little House In the Big Woods
Pippi Longstocking
Germinal
The Heart Is a Lonely Hunter
The Woman In White
"Absalom, Absalom!"
A Painted House
The Girl With the Dragon Tattoo
A Room With a View
Watership Down
Memoirs of a Geisha
Our Mutual Friend
Babbitt
The Red Pony
All the King's Men
Things Fall Apart
Lorna Doone
Johnny Tremain
Anne of Avonlea
Tuck Everlasting
The BFG
Cannery Row
The Joy Luck Club
The Silmarillion
Roots
Little House on the Prairie
Native Son
Stuart Little
Cross Fire
The Power and the Glory
A Clockwork Orange
The Phantom of the Opera
The Martian Chronicles
The Road
The Way of All Flesh
Diary of a Wimpy Kid: The Long Haul
Villette
The Curious Incident of the Dog In the Night-Time
The Mysterious Island
Song of Solomon
Nana
Quo Vadis
Main Street
Matilda
Lolita
Paper Towns
Sounder
"Are You There God? It's Me, Margaret"
The Notebook
From the Mixed-Up Files of Mrs. Basil E. Frankweiler
Atlas Shrugged
The Fountainhead
Number the Stars
The Firm
Swann's Way
Ender's Game
The Name of the Rose
A Time to Kill
Water for Elephants
The Time Machine
Eragon
The Hitchhiker's Guide to the Galaxy
Buddenbrooks
A Thousand Splendid Suns
The Witch of Blackbird Pond
And Then There Were None
A Separate Peace
Breaking Dawn
As I Lay Dying
The Girl Who Played With Fire
Where the Red Fern Grows
Le Morte D'Arthur
Mockingjay
The Pillars of the Earth
Persian Letters
The Client
Sula
Tales of a Fourth Grade Nothing
The Merry Adventures of Robin Hood of Great Renown In Nottinghamshire
Tortilla Flat
"Look Homeward, Angel"
The Mystery of Edwin Drood
Brideshead Revisited
The Pelican Brief
Atonement
Washington Square
Like Water for Chocolate
The Golden Compass
The Secret Life of Bees
The Fault In Our Stars
Nostromo
Finnegans Wake
The Brethren
Coraline
Heart of Darkness
On the Banks of Plum Creek
Rebecca of Sunnybrook Farm
The Ambassadors
The Secret Agent
The House on Mango Street
Go Tell It on the Mountain
The Testament
The Clan of the Cave Bear
Cranford
Because of Winn-Dixie
My Side of the Mountain
The Runaway Jury
The Mouse and the Motorcycle
The Lost Symbol
The Forsyte Saga
Gone Girl
The Lightning Thief
The Last Days of Pompeii
The Reader
Caddie Woodlawn
The Tale of Despereaux
The Girl Who Kicked the Hornet's Nest
Dear Mr. Henshaw
The Killer Angels
Chronicle of a Death Foretold
The Five People You Meet In Heaven
The Master and Margarita
"Winesburg, Ohio"
P Is for Peril
My Sister's Keeper
Barnaby Rudge
Howards End
The Broker
The Camel Club
The Rainbow
The Man In the Iron Mask
Mary Poppins
Artemis Fowl
Dear John
Cold Mountain
Flowers for Algernon
The Dark Is Rising
Resurrection
Fearless Fourteen
A Sentimental Journey Through France and Italy
The King of Torts
The Graveyard Book
The Quiet American
The Chamber
The English Patient
Snow Falling on Cedars
The Long Winter
"Sarah, Plain and Tall"
Cross Country
The Spy Who Came In from the Cold
A Game of Thrones
The Thorn Birds
Old Yeller
"Ramona Quimby, Age 8"
Death In Venice
By the Shores of Silver Lake
Inferno
Schindler's List
Jonathan Livingston Seagull
The Stand
The Last Juror
Shiloh
Girl With a Pearl Earring
The Murder of Roger Ackroyd
It
The Rainmaker
The Poisonwood Bible
The Indian in the Cupboard
The Maltese Falcon
The Warden
The Summons
Encyclopedia Brown: Boy Detective
The Time Traveler's Wife
The Incredible Journey
Daughter of Fortune
Shirley
"Bud, Not Buddy"
The Horse Whisperer
The Street Lawyer
Nausea
To Have and Have Not
The Bridges of Madison County
Anne of the Island
The Winter of Our Discontent
The Shining
The Tenant of Wildfell Hall
First Family
The Partner
The Girl on the Train
The Black Arrow: A Tale of the Two Roses
The Rise of Silas Lapham
The Choice
The Virginian: A Horseman of the Plains
A Walk to Remember
The Maze Runner
The Westing Game
Misty of Chincoteague
Diary of a Wimpy Kid: The Last Straw
King Solomon's Mines
The Princess of Cleves
Jacob Have I Loved
Mrs. Frisby and the Rats of NIMH
Misery
The Cider House Rules
King of the Wind
The Once and Future King
The Witches
The Subtle Knife
When You Reach Me
Carrie
The Moon and Sixpence
The Higher Power of Lucky
"Looking Backward, 2000-1887"
The Wings of the Dove
The Summer of the Swans
Dangerous Liaisons
Jurassic Park
The Absolutely True Diary of a Part-time Indian
The Grey King
The Leopard
The Mammoth Hunters
The Trumpet of the Swan
The Lucky One
These Happy Golden Years
Arrowsmith
Julie of the Wolves
The Screwtape Letters
The Fall
The No. 1 Ladies' Detective Agency
Worst Case
Lost Horizon
The Gunslinger
The Slave Dancer
Harry Potter and the Half-Blood Prince
Inkheart
Ramona and her Father
Inkspell
Ramona the Pest
Walk Two Moons
Miss Peregrine's Home for Peculiar Children
The Chocolate War
Sophie's Choice
Looking for Alaska
Breakfast at Tiffany's
The Razor's Edge
Dreamcatcher
Orlando
The Things they Carried
Little Town on the Prairie
Nights in Rodanthe
The Amber Spyglass
